publish_date,headline_text
2017-12-13,air asia darwin to bali route suspended
2017-12-13,ai weiwei tribute to refugees at biennale of sydney
2017-12-13,alabama senate race was about roy moore not party loyalties
2017-12-13,ancient human sized penguin inhabited new zealand
2017-12-13,artist draws mural to remind children cyber safety
2017-12-13,ashes same xi for england but tweak for waca
2017-12-13,aud to fall to 68 us cents westpac forecast
2017-12-13,australia leaning towards mitchell marsh for waca ashes test
2017-12-13,australias growing skills gap cities vs regions the conversation
2017-12-13,australias most and least popular birthdays revealed
2017-12-13,austria rocked by gas plant explosion
2017-12-13,best test moments at the waca
2017-12-13,bitcoin falls slightly
2017-12-13,blue mountains council on notice from nsw government
2017-12-13,borce ristevski faces court charged with murdering wife karen
2017-12-13,braybrook death murder charge
2017-12-13,broome hospital nurse stood down for online racist rant
2017-12-13,bushfire danger rating system
2017-12-13,bushfire danger rating system trialled summer
2017-12-13,bushfire threatening victorian town of balmoral under control
2017-12-13,cairns petrol tank explosion blew the blinds off
2017-12-13,campbell remess bear boy off to usa for cnn award
2017-12-13,cba breached money laundering; counter terrorism laws
2017-12-13,central australian men rules remote aboriginal alice springs
2017-12-13,child abuse royal commission church forces cant dilute response
2017-12-13,child care body urges caution for parents considering online
2017-12-13,child sexual abuse royal commission parents highlight abuse
2017-12-13,chris froome asthma medication drugs test result vuelta
2017-12-13,citizenship high court lambie parry replacements delay
2017-12-13,clive palmers coolum resort lists villas on airbnb
2017-12-13,consumer confidence key points
2017-12-13,coronial inquest island quarry byron bay
2017-12-13,curious nc lismore built on a floodplain
2017-12-13,deb frecklington hopes to see more women enter
2017-12-13,deb frecklington lnp leader nationals era baggage lnp qld
2017-12-13,democrat doug jones overwhelmed by victory in
2017-12-13,donald trump news media coverage
2017-12-13,egyptian singer shyma jailed over video inciting debauchery
2017-12-13,elizabeth dixon murder family hits out at sentence
2017-12-13,emergency warning bushfire balmoral
2017-12-13,energy regulator trigger to shut industry prevent blackouts
2017-12-13,facebook hits back at chamath palihapitiya criticism
2017-12-13,fact check kristina keneally education spending
2017-12-13,fatal stabbing neighbour tungkillo home detention bail
2017-12-13,federal government faces key test in weekends
